data_somministrazione;area;totale;sesso_maschile;sesso_femminile;prima_dose;seconda_dose;pregressa_infezione;dose_aggiuntiva;codice_NUTS1;codice_NUTS2;codice_regione_ISTAT;nome_area;Latitudine;Longitudine;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;dimessi_guariti;deceduti;totale_casi;tamponi;casi_testati
2020-12-27;ABR;47;24;23;47;0;0;0;ITF;ITF1;13;Abruzzo;42.35122196;13.39843823;443;36;479;11337;11816;-69;25;21507;1173;34496;506082;266774
2020-12-27;BAS;107;41;66;107;0;0;0;ITF;ITF5;17;Basilicata;40.63947052;15.80514834;98;5;103;5856;5959;-1;9;4280;242;10481;180690;116318
2020-12-27;VDA;20;9;11;20;0;0;0;ITC;ITC2;2;Valle d'Aosta / Vallée d'Aoste;45.73750286;7.320149366;83;2;85;347;432;14;27;6375;374;7181;61613;37039
2020-12-27;PIE;915;370;545;915;0;0;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;3039;211;3250;27812;31062;-495;470;155416;7784;194262;1654351;974905
2020-12-27;EMR;973;374;599;973;0;0;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2609;210;2819;55356;58175;888;1283;100659;7493;166327;2508298;1210120
2020-12-27;SAR;68;37;31;68;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;483;43;526;15889;16415;15;96;13020;710;30145;470328;394659
2020-12-27;CAM;721;423;298;717;0;4;0;ITF;ITF3;15;Campania;40.83956555;14.25084984;1440;95;1535;78540;80075;-488;310;103370;2686;186131;1992877;1332853
2020-12-27;UMB;90;49;41;90;0;0;0;ITI;ITI2;10;Umbria;43.10675841;12.38824698;260;36;296;3257;3553;4;36;23907;604;28064;492558;249041
2020-12-27;LAZ;277;133;144;277;0;0;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2802;301;3103;73335;76438;144;977;77800;3529;157767;2656014;2023876
2020-12-27;LOM;718;414;304;718;0;0;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3801;508;4309;55018;59327;-295;466;387761;24867;471955;4785738;2585071
2020-12-27;FVG;262;149;113;261;0;1;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;626;58;684;11506;12190;65;144;33913;1564;47667;907700;335221
2020-12-27;SIC;148;95;53;147;0;1;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1027;174;1201;31966;33167;-123;682;54151;2298;89616;1188827;793985
2020-12-27;PAT;107;43;64;107;0;0;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;356;45;401;1374;1775;49;86;18372;902;21049;442600;150012
2020-12-27;TOS;629;275;354;624;0;5;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;847;165;1012;9788;10800;-78;227;104396;3588;118784;1849528;1050691
2020-12-27;PAB;144;65;79;144;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;154;20;174;10406;10580;14;57;17503;720;28803;355149;160905
2020-12-27;VEN;880;395;485;880;0;0;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2626;360;2986;87035;90021;1179;3337;144593;6038;240652;3232475;1196750
2020-12-27;PUG;510;252;258;510;0;0;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1444;154;1598;52040;53638;-152;221;30454;2347;86439;1008542;638210
